person_name,time_ms,ecg_raw,ecg_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,0,1739,1731.665494,,,
unknown,1,1733,1723.167186,,,
unknown,2,1722,1715.699730,,,
unknown,3,1712,1709.294482,,,
unknown,4,1711,1704.184477,,,
unknown,5,1712,1700.600711,,,
unknown,6,1713,1698.400257,,,
unknown,7,1718,1697.767013,,,
unknown,8,1719,1698.405694,,,
unknown,9,1723,1700.361288,,,
unknown,10,1725,1703.153578,,,
unknown,11,1727,1706.684354,,,
unknown,12,1723,1710.651903,,,
unknown,13,1728,1714.836412,,,
unknown,14,1738,1718.907295,,,
unknown,15,1744,1722.615938,,,
unknown,16,1757,1725.805529,,,
unknown,17,1763,1728.215216,,,
unknown,18,1768,1729.945383,,,
unknown,19,1771,1730.802133,,,
unknown,20,1763,1730.874827,,,
unknown,21,1754,1730.078261,,,
unknown,22,1744,1728.737405,,,
unknown,23,1737,1726.853279,,,
unknown,24,1733,1724.604053,,,
unknown,25,1733,1722.095961,,,
unknown,26,1733,1719.600854,,,
unknown,27,1729,1717.257369,,,
unknown,28,1731,1715.084768,,,
unknown,29,1729,1713.245307,,,
unknown,30,1728,1711.756552,,,
unknown,31,1723,1710.724635,,,
unknown,32,1722,1710.055298,,,
unknown,33,1724,1709.811766,,,
unknown,34,1730,1709.764059,,,
unknown,35,1735,1709.902986,,,
unknown,36,1744,1710.161007,,,
unknown,37,1746,1710.464274,,,
unknown,38,1753,1710.656655,,,
unknown,39,1751,1710.660579,,,
unknown,40,1748,1710.456915,,,
unknown,41,1740,1709.952225,,,
unknown,42,1728,1709.306712,,,
unknown,43,1716,1708.474635,,,
unknown,44,1714,1707.499063,,,
unknown,45,1713,1706.399016,,,
unknown,46,1714,1705.410869,,,
unknown,47,1715,1704.579786,,,
unknown,48,1719,1703.954439,,,
unknown,49,1718,1703.632831,,,
unknown,50,1719,1703.711694,,,
unknown,51,1719,1704.272620,,,
unknown,52,1717,1705.312251,,,
unknown,53,1722,1706.908441,,,
unknown,54,1731,1708.896506,,,
unknown,55,1740,1711.306707,,,
unknown,56,1747,1714.052520,,,
unknown,57,1755,1717.099647,,,
unknown,58,1762,1720.187630,,,
unknown,59,1765,1723.247201,,,
unknown,60,1760,1726.211344,,,
unknown,61,1754,1728.958956,,,
unknown,62,1747,1731.350410,,,
unknown,63,1744,1733.280266,,,
unknown,64,1742,1734.727351,,,
unknown,65,1744,1735.584582,,,
unknown,66,1746,1735.986509,,,
unknown,67,1747,1735.875114,,,
unknown,68,1751,1735.309543,,,
unknown,69,1750,1734.295643,,,
unknown,70,1749,1733.106749,,,
unknown,71,1745,1731.788266,,,
unknown,72,1744,1730.413461,,,
unknown,73,1745,1729.092774,,,
unknown,74,1749,1728.001550,,,
unknown,75,1757,1727.243483,,,
unknown,76,1759,1726.881305,,,
unknown,77,1766,1727.034921,,,
unknown,78,1766,1727.706578,,,
unknown,79,1769,1728.987274,,,
unknown,80,1764,1730.872524,,,
unknown,81,1758,1733.419911,,,
unknown,82,1749,1736.466907,,,
unknown,83,1747,1740.032550,,,
unknown,84,1754,1744.077590,,,
unknown,85,1759,1748.565868,,,
unknown,86,1769,1753.268825,,,
unknown,87,1774,1758.132169,,,
unknown,88,1782,1763.140384,,,
unknown,89,1783,1768.195081,,,
unknown,90,1790,1773.176942,,,
unknown,91,1791,1778.010718,,,
unknown,92,1791,1782.627676,,,
unknown,93,1799,1786.939803,,,
unknown,94,1810,1790.950469,,,
unknown,95,1822,1794.587067,,,
unknown,96,1831,1797.782796,,,
unknown,97,1840,1800.486267,,,
unknown,98,1845,1802.775892,,,
unknown,99,1846,1804.608341,,,
unknown,100,1840,1805.915389,,,
unknown,101,1833,1806.684948,,,
unknown,102,1823,1807.028714,,,
unknown,103,1814,1806.930142,,,
unknown,104,1813,1806.305573,,,
unknown,105,1814,1805.167758,,,
unknown,106,1815,1803.552979,,,
unknown,107,1815,1801.447995,,,
unknown,108,1815,1798.835553,,,
unknown,109,1814,1795.717098,,,
unknown,110,1808,1792.110168,,,
unknown,111,1803,1788.011939,,,
unknown,112,1795,1783.410966,,,
unknown,113,1794,1778.309450,,,
unknown,114,1794,1772.746511,,,
unknown,115,1795,1766.724090,,,
unknown,116,1791,1760.257435,,,
unknown,117,1791,1753.360307,,,
unknown,118,1787,1746.219569,,,
unknown,119,1779,1738.866673,,,
unknown,120,1765,1731.330993,,,
unknown,121,1749,1723.686583,,,
unknown,122,1733,1716.144877,,,
unknown,123,1721,1708.779566,,,
unknown,124,1711,1701.660031,,,
unknown,125,1702,1694.898206,,,
unknown,126,1699,1688.665410,,,
unknown,127,1695,1683.065985,,,
unknown,128,1691,1678.170987,,,
unknown,129,1693,1674.100483,,,
unknown,130,1687,1670.798133,,,
unknown,131,1681,1668.351364,,,
unknown,132,1680,1666.763244,,,
