person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,19,,,27740,27704.425569,24984
unknown,59,,,27430,27370.941782,24871
unknown,99,,,27132,27145.451565,24773
unknown,139,,,26976,26969.695416,24735
unknown,179,,,26787,26809.982182,24674
unknown,219,,,26696,26749.168885,24621
unknown,259,,,26787,26767.961075,24647
unknown,299,,,26807,26791.949441,24649
unknown,339,,,26758,26779.916335,24613
unknown,379,,,26961,26933.386444,24678
unknown,419,,,26906,26947.256072,24681
unknown,459,,,27112,27103.887230,24734
unknown,499,,,27327,27261.732654,24814
unknown,539,,,27265,27248.894759,24802
unknown,579,,,27149,27209.472974,24760
unknown,619,,,27165,27220.874921,24778
unknown,659,,,27215,27222.207262,24804
unknown,699,,,27275,27283.896787,24824
unknown,739,,,27363,27335.453635,24855
unknown,779,,,27435,27396.254742,24888
unknown,819,,,27434,27380.753376,24898
unknown,859,,,27339,27274.646029,24878
unknown,899,,,26944,26971.257466,24745
unknown,939,,,26588,26632.861805,24605
unknown,979,,,26812,26811.794640,24683
unknown,1019,,,27142,27148.292204,24809
unknown,1059,,,27263,27307.299495,24861
unknown,1099,,,27290,27276.287787,24881
unknown,1139,,,27401,27411.863468,24924
unknown,1179,,,27580,27632.976036,25000
unknown,1219,,,27765,27781.797452,25081
unknown,1259,,,27927,27895.392195,25149
unknown,1299,,,28005,27998.232205,25177
unknown,1339,,,28097,28065.939254,25216
unknown,1379,,,28157,28140.393173,25236
unknown,1419,,,28207,28220.576119,25257
unknown,1469,,,28288,28269.738950,25289
unknown,1509,,,28352,28294.154266,25315
unknown,1549,,,28341,28330.464799,25308
unknown,1589,,,28352,28375.656103,25319
unknown,1629,,,28389,28422.308955,25335
unknown,1669,,,28438,28478.515901,25356
unknown,1709,,,28507,28510.742546,25389
unknown,1749,,,28535,28517.931086,25400
unknown,1789,,,28502,28510.828367,25384
unknown,1829,,,28472,28480.895243,25377
unknown,1869,,,28465,28467.210237,25380
unknown,1909,,,28478,28471.893966,25391
unknown,1949,,,28478,28468.256484,25382
unknown,1989,,,28434,28465.337937,25362
unknown,2029,,,28483,28489.434003,25377
unknown,2069,,,28563,28541.011962,25411
unknown,2109,,,28605,28552.946672,25433
unknown,2149,,,28576,28526.393325,25424
unknown,2189,,,28496,28503.080249,25394
unknown,2229,,,28443,28469.138536,25380
unknown,2269,,,28437,28441.285692,25382
unknown,2309,,,28413,28425.100338,25372
unknown,2349,,,28389,28411.756739,25356
unknown,2389,,,28391,28407.583348,25355
unknown,2429,,,28411,28422.821335,25358
unknown,2469,,,28446,28459.913084,25377
unknown,2509,,,28471,28481.729991,25392
unknown,2549,,,28493,28489.009493,25399
unknown,2589,,,28510,28504.510639,25405
unknown,2629,,,28514,28520.685670,25407
unknown,2669,,,28538,28538.829538,25415
unknown,2709,,,28589,28561.193992,25436
unknown,2749,,,28636,28565.464791,25459
unknown,2789,,,28595,28550.645686,25440
unknown,2829,,,28463,28475.890859,25395
unknown,2869,,,28302,28330.266977,25336
unknown,2909,,,28210,28229.033330,25305
unknown,2949,,,28138,28166.305390,25279
unknown,2989,,,28113,28135.632988,25268
unknown,3029,,,28173,28164.850491,25298
unknown,3069,,,28214,28219.145539,25308
unknown,3109,,,28277,28308.728222,25334
unknown,3149,,,28354,28361.399152,25367
unknown,3189,,,28367,28367.057212,25366
unknown,3229,,,28379,28371.402844,25369
unknown,3269,,,28358,28353.579799,25353
unknown,3309,,,28382,28365.859646,25360
unknown,3349,,,28440,28414.092850,25385
unknown,3389,,,28486,28454.597545,25404
unknown,3429,,,28529,28499.929298,25424
unknown,3469,,,28532,28513.429287,25445
unknown,3509,,,28472,28486.491093,25430
unknown,3549,,,28408,28448.056528,25398
unknown,3589,,,28381,28386.482220,25391
unknown,3629,,,28332,28349.925002,25365
unknown,3669,,,28333,28344.430226,25363
unknown,3709,,,28322,28336.669554,25352
unknown,3749,,,28317,28339.644049,25354
unknown,3789,,,28314,28338.840320,25354
unknown,3829,,,28338,28331.101058,25365
unknown,3869,,,28360,28334.483111,25366
unknown,3909,,,28360,28345.568007,25374
unknown,3949,,,28348,28341.437176,25364
unknown,3989,,,28339,28322.705871,25354
unknown,4029,,,28322,28298.133978,25345
unknown,4069,,,28312,28262.382759,25340
unknown,4109,,,28249,28235.059287,25320
unknown,4149,,,28198,28217.624400,25303
unknown,4189,,,28193,28223.820891,25297
unknown,4229,,,28217,28261.155310,25306
unknown,4269,,,28288,28287.285283,25330
unknown,4309,,,28314,28306.058970,25336
unknown,4349,,,28326,28348.028249,25340
unknown,4389,,,28386,28406.990901,25357
unknown,4429,,,28437,28452.185927,25381
unknown,4469,,,28486,28485.663732,25398
unknown,4509,,,28533,28519.739293,25417
unknown,4549,,,28552,28547.928616,25424
unknown,4589,,,28587,28568.648685,25428
unknown,4629,,,28612,28581.590090,25440
unknown,4669,,,28595,28582.212286,25431
unknown,4709,,,28606,28569.128766,25437
unknown,4749,,,28557,28532.322093,25425
unknown,4789,,,28452,28468.681464,25387
unknown,4829,,,28378,28420.816654,25362
unknown,4869,,,28360,28388.463328,25357
unknown,4909,,,28345,28353.200744,25349
unknown,4949,,,28324,28324.801045,25343
unknown,4989,,,28323,28316.973957,25341
