person_name,time_ms,ecg_raw,ecg_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,0,1720,1694.132150,,,
unknown,1,1721,1696.283993,,,
unknown,2,1725,1698.062249,,,
unknown,3,1732,1699.697332,,,
unknown,4,1741,1701.175437,,,
unknown,5,1745,1702.370462,,,
unknown,6,1749,1703.309180,,,
unknown,7,1748,1703.929151,,,
unknown,8,1746,1703.997985,,,
unknown,9,1740,1703.457863,,,
unknown,10,1728,1702.089042,,,
unknown,11,1715,1699.767817,,,
unknown,12,1708,1696.335940,,,
unknown,13,1696,1691.642220,,,
unknown,14,1682,1685.646277,,,
unknown,15,1675,1678.207610,,,
unknown,16,1663,1669.547743,,,
unknown,17,1651,1659.617676,,,
unknown,18,1644,1648.952978,,,
unknown,19,1633,1637.707078,,,
unknown,20,1630,1626.501977,,,
unknown,21,1627,1615.701782,,,
unknown,22,1633,1606.288551,,,
unknown,23,1640,1598.753314,,,
unknown,24,1648,1593.931703,,,
unknown,25,1658,1592.482228,,,
unknown,26,1665,1595.156839,,,
unknown,27,1674,1602.665683,,,
unknown,28,1677,1615.438784,,,
unknown,29,1679,1634.088975,,,
unknown,30,1682,1658.609539,,,
unknown,31,1696,1689.304811,,,
unknown,32,1718,1725.917109,,,
unknown,33,1754,1768.358829,,,
unknown,34,1801,1815.852391,,,
unknown,35,1856,1867.957629,,,
unknown,36,1917,1923.710145,,,
unknown,37,1981,1982.366214,,,
unknown,38,2044,2042.546276,,,
unknown,39,2106,2103.357949,,,
unknown,40,2164,2163.573685,,,
unknown,41,2226,2222.136673,,,
unknown,42,2292,2277.942679,,,
unknown,43,2355,2329.889641,,,
unknown,44,2418,2377.200194,,,
unknown,45,2479,2418.878769,,,
unknown,46,2536,2454.535380,,,
unknown,47,2578,2483.432094,,,
unknown,48,2607,2505.345219,,,
unknown,49,2605,2519.823567,,,
unknown,50,2565,2527.043071,,,
unknown,51,2540,2526.777057,,,
unknown,52,2503,2519.265686,,,
unknown,53,2471,2504.477180,,,
unknown,54,2437,2482.960010,,,
unknown,55,2410,2454.809500,,,
unknown,56,2383,2420.454682,,,
unknown,57,2355,2380.146598,,,
unknown,58,2328,2334.484809,,,
unknown,59,2291,2283.799036,,,
unknown,60,2255,2228.633771,,,
