person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,10,,,28732,28727.988594,24543
unknown,50,,,28725,28726.951314,24537
unknown,90,,,28725,28725.848045,24535
unknown,130,,,28734,28724.696421,24541
unknown,170,,,28731,28723.224655,24540
unknown,210,,,28700,28721.493097,24520
unknown,250,,,28700,28727.812743,24516
unknown,290,,,28740,28742.997986,24531
unknown,330,,,28771,28763.198200,24547
unknown,370,,,28797,28790.817477,24561
unknown,410,,,28793,28788.830165,24557
unknown,450,,,28764,28753.752748,24537
unknown,490,,,28724,28705.243607,24516
unknown,530,,,28674,28633.055620,24492
unknown,570,,,28567,28579.948944,24448
unknown,610,,,28518,28549.839239,24433
unknown,650,,,28524,28532.162916,24438
unknown,690,,,28523,28539.598802,24437
unknown,730,,,28542,28561.500603,24447
unknown,770,,,28606,28601.218182,24467
unknown,810,,,28653,28628.296894,24491
unknown,850,,,28658,28639.106970,24496
unknown,890,,,28650,28641.536924,24492
unknown,930,,,28625,28625.932952,24480
unknown,970,,,28596,28617.051136,24457
unknown,1010,,,28595,28613.981389,24454
unknown,1050,,,28617,28621.722372,24456
unknown,1090,,,28649,28646.775385,24470
unknown,1130,,,28703,28685.268968,24495
unknown,1170,,,28759,28741.873969,24517
unknown,1210,,,28783,28751.684319,24525
unknown,1250,,,28727,28709.895284,24502
unknown,1290,,,28580,28618.012486,24447
unknown,1330,,,28520,28554.520959,24427
unknown,1370,,,28529,28528.524343,24433
unknown,1420,,,28562,28564.449853,24449
unknown,1460,,,28599,28597.727147,24464
unknown,1500,,,28642,28641.807585,24481
unknown,1540,,,28677,28675.510781,24495
unknown,1580,,,28684,28687.324832,24497
unknown,1620,,,28684,28705.048419,24499
unknown,1660,,,28717,28719.649964,24503
unknown,1700,,,28770,28741.915785,24528
unknown,1740,,,28801,28775.079651,24546
unknown,1780,,,28796,28790.092771,24536
unknown,1820,,,28772,28788.422083,24524
unknown,1860,,,28795,28811.121403,24527
unknown,1900,,,28848,28855.246835,24552
unknown,1940,,,28870,28837.431881,24560
unknown,1980,,,28777,28759.009241,24524
unknown,2020,,,28690,28718.206018,24491
unknown,2060,,,28693,28721.817424,24498
unknown,2100,,,28733,28726.981527,24510
unknown,2140,,,28760,28756.137874,24524
unknown,2180,,,28778,28759.854944,24529
unknown,2220,,,28761,28734.122408,24521
unknown,2260,,,28731,28720.669081,24507
unknown,2300,,,28699,28708.657992,24492
unknown,2340,,,28685,28708.276095,24490
unknown,2380,,,28709,28725.921549,24496
unknown,2420,,,28743,28749.952497,24510
unknown,2460,,,28772,28785.181042,24521
unknown,2500,,,28790,28805.941233,24529
unknown,2540,,,28815,28809.361771,24536
unknown,2580,,,28853,28813.125733,24553
unknown,2620,,,28849,28810.431682,24557
unknown,2660,,,28730,28740.314552,24512
unknown,2700,,,28626,28645.925812,24472
unknown,2740,,,28600,28600.354750,24457
unknown,2780,,,28596,28618.307341,24455
unknown,2820,,,28595,28611.571873,24454
unknown,2860,,,28612,28601.959609,24456
unknown,2900,,,28618,28604.158491,24454
unknown,2940,,,28619,28608.032379,24452
unknown,2980,,,28633,28618.348182,24460
unknown,3020,,,28635,28634.942336,24461
unknown,3060,,,28639,28650.168085,24461
unknown,3100,,,28645,28664.017028,24460
unknown,3140,,,28671,28679.576330,24468
unknown,3180,,,28693,28695.004728,24479
unknown,3220,,,28715,28707.745511,24483
unknown,3260,,,28736,28717.351670,24491
unknown,3300,,,28708,28679.845409,24481
unknown,3340,,,28588,28589.642628,24441
unknown,3380,,,28519,28544.369220,24414
unknown,3420,,,28514,28538.522478,24413
unknown,3460,,,28521,28526.431092,24417
unknown,3500,,,28529,28527.405851,24416
unknown,3540,,,28548,28530.897760,24423
unknown,3580,,,28550,28533.759896,24423
unknown,3620,,,28554,28546.077888,24423
unknown,3660,,,28563,28565.021892,24427
unknown,3700,,,28574,28584.417280,24431
unknown,3740,,,28588,28604.701169,24432
unknown,3780,,,28618,28625.340101,24444
unknown,3820,,,28642,28644.664859,24453
unknown,3860,,,28657,28660.465175,24460
unknown,3900,,,28671,28671.431880,24459
unknown,3940,,,28688,28664.389023,24470
unknown,3980,,,28673,28636.536438,24466
unknown,4020,,,28543,28556.562368,24418
unknown,4060,,,28462,28489.005360,24390
unknown,4100,,,28450,28443.730908,24386
unknown,4140,,,28461,28449.643817,24389
unknown,4180,,,28463,28457.944926,24388
unknown,4220,,,28481,28485.835002,24393
unknown,4260,,,28493,28502.082399,24395
unknown,4300,,,28501,28500.912532,24399
unknown,4340,,,28503,28511.203392,24398
unknown,4380,,,28513,28524.657406,24399
unknown,4420,,,28524,28538.426062,24406
unknown,4460,,,28550,28555.325222,24414
unknown,4500,,,28574,28570.232133,24420
unknown,4540,,,28588,28583.044112,24426
unknown,4580,,,28597,28593.587589,24427
unknown,4620,,,28613,28600.477528,24432
unknown,4660,,,28635,28604.689338,24439
unknown,4700,,,28647,28605.480035,24447
unknown,4740,,,28536,28547.148145,24404
unknown,4780,,,28412,28436.335620,24360
unknown,4820,,,28383,28388.822226,24347
unknown,4860,,,28384,28404.641915,24349
unknown,4900,,,28386,28400.891339,24345
unknown,4940,,,28407,28401.865512,24350
unknown,4980,,,28414,28409.876273,24355
