person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,30,,25252,26652
unknown,70,,25294,26738
unknown,110,,25311,26783
unknown,150,,25353,26876
unknown,190,,25391,26963
unknown,230,,25429,27070
unknown,270,,25410,27054
unknown,310,,25279,26753
unknown,350,,25168,26496
unknown,390,,25112,26333
unknown,430,,25056,26157
unknown,470,,25049,26126
unknown,510,,24991,25977
unknown,550,,24933,25826
unknown,590,,24962,25921
unknown,630,,25032,26152
unknown,670,,25097,26335
unknown,710,,25123,26340
unknown,750,,25157,26407
unknown,790,,25161,26497
unknown,830,,25137,26521
unknown,870,,25140,26582
unknown,910,,25129,26576
unknown,950,,25129,26586
unknown,990,,25163,26682
unknown,1030,,25183,26740
unknown,1070,,25090,26495
unknown,1110,,24957,26167
unknown,1150,,24895,26036
unknown,1190,,24861,25980
unknown,1230,,24795,25883
unknown,1270,,24741,25816
unknown,1310,,24699,25759
unknown,1350,,24663,25695
unknown,1390,,24616,25609
unknown,1430,,24565,25500
unknown,1470,,24533,25433
unknown,1510,,24510,25397
unknown,1550,,24396,25197
unknown,1590,,24343,25095
unknown,1630,,24353,25119
unknown,1670,,24400,25244
unknown,1710,,24381,25271
unknown,1750,,24417,25357
unknown,1790,,24434,25388
unknown,1830,,24388,25297
unknown,1870,,24386,25290
unknown,1910,,24427,25395
unknown,1950,,24474,25516
unknown,1990,,24555,25694
unknown,2030,,24617,25834
unknown,2070,,24680,25991
unknown,2110,,24689,26013
unknown,2150,,24691,26008
unknown,2190,,24695,26010
unknown,2230,,24693,26001
unknown,2270,,24700,26021
unknown,2310,,24602,25826
unknown,2350,,24490,25602
unknown,2390,,24428,25481
unknown,2430,,24360,25359
unknown,2470,,24339,25325
unknown,2510,,24295,25222
unknown,2550,,24170,24930
unknown,2590,,24117,24774
unknown,2630,,24137,24809
unknown,2670,,24135,24821
unknown,2710,,24173,24902
unknown,2750,,24198,24977
unknown,2790,,24204,24991
unknown,2830,,24272,25114
unknown,2870,,24359,25301
unknown,2910,,24463,25539
unknown,2950,,24557,25755
unknown,2990,,24648,25960
unknown,3030,,24736,26159
unknown,3070,,24786,26275
unknown,3110,,24802,26307
unknown,3150,,24810,26318
unknown,3190,,24824,26352
unknown,3230,,24844,26389
unknown,3270,,24782,26216
unknown,3310,,24679,25945
unknown,3350,,24636,25839
unknown,3390,,24658,25884
unknown,3430,,24681,25947
unknown,3470,,24712,26019
unknown,3510,,24750,26093
unknown,3550,,24774,26148
unknown,3590,,24787,26189
unknown,3630,,24818,26255
unknown,3670,,24852,26339
unknown,3710,,24900,26451
unknown,3750,,24939,26553
unknown,3800,,24970,26635
unknown,3840,,24999,26725
unknown,3880,,25012,26759
unknown,3920,,25056,26875
unknown,3960,,25139,27073
unknown,4000,,25194,27203
unknown,4040,,25165,27119
unknown,4080,,25111,26990
unknown,4120,,25090,26943
unknown,4160,,25085,26943
unknown,4200,,25070,26911
unknown,4240,,25071,26919
unknown,4280,,25062,26905
unknown,4320,,25026,26820
unknown,4360,,25016,26800
unknown,4400,,25009,26789
unknown,4440,,25006,26788
unknown,4480,,25006,26804
unknown,4520,,25018,26852
unknown,4560,,25029,26876
unknown,4600,,25033,26868
unknown,4640,,25032,26858
unknown,4680,,25039,26872
unknown,4720,,25002,26753
unknown,4760,,24881,26422
unknown,4800,,24782,26154
unknown,4840,,24754,26086
unknown,4880,,24764,26118
unknown,4920,,24792,26204
unknown,4960,,24826,26295
unknown,5000,,24823,26304
unknown,5040,,24811,26284
unknown,5080,,24822,26324
unknown,5120,,24832,26348
unknown,5160,,24839,26366
unknown,5200,,24860,26424
unknown,5240,,24887,26510
unknown,5280,,24907,26567
unknown,5320,,24918,26597
unknown,5360,,24928,26617
unknown,5400,,24885,26497
unknown,5440,,24754,26158
unknown,5480,,24684,25984
unknown,5520,,24678,25962
unknown,5560,,24684,25982
unknown,5600,,24711,26055
unknown,5640,,24744,26147
unknown,5680,,24760,26203
unknown,5720,,24760,26212
unknown,5760,,24763,26223
unknown,5800,,24784,26286
unknown,5840,,24818,26375
unknown,5880,,24859,26497
unknown,5920,,24915,26644
unknown,5960,,24971,26794
unknown,6000,,25010,26887
unknown,6040,,25022,26900
unknown,6080,,24933,26671
unknown,6120,,24825,26393
unknown,6160,,24782,26290
unknown,6200,,24779,26282
unknown,6240,,24788,26303
unknown,6280,,24817,26382
unknown,6320,,24830,26423
unknown,6360,,24834,26444
unknown,6400,,24847,26476
unknown,6440,,24859,26507
unknown,6480,,24888,26577
unknown,6520,,24906,26627
