person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,40,,25278,29182
unknown,80,,25302,29232
unknown,120,,25314,29259
unknown,160,,25304,29259
unknown,200,,25330,29314
unknown,240,,25354,29378
unknown,280,,25368,29413
unknown,320,,25355,29356
unknown,360,,25315,29234
unknown,400,,25301,29185
unknown,440,,25301,29183
unknown,480,,25311,29209
unknown,520,,25353,29282
unknown,560,,25392,29350
unknown,600,,25407,29376
unknown,640,,25418,29393
unknown,680,,25390,29367
unknown,720,,25383,29359
unknown,760,,25393,29382
unknown,800,,25393,29400
unknown,840,,25382,29399
unknown,880,,25376,29400
unknown,920,,25397,29427
unknown,960,,25419,29476
unknown,1000,,25436,29509
unknown,1040,,25397,29407
unknown,1080,,25346,29283
unknown,1120,,25344,29255
unknown,1160,,25353,29275
unknown,1200,,25367,29295
unknown,1240,,25377,29321
unknown,1280,,25392,29354
unknown,1320,,25399,29362
unknown,1360,,25408,29385
unknown,1400,,25418,29402
unknown,1440,,25419,29419
unknown,1480,,25415,29426
unknown,1520,,25409,29423
unknown,1560,,25406,29427
unknown,1600,,25403,29435
unknown,1650,,25412,29456
unknown,1690,,25411,29462
unknown,1730,,25381,29390
unknown,1770,,25327,29262
unknown,1810,,25317,29218
unknown,1850,,25322,29230
unknown,1890,,25318,29244
unknown,1930,,25326,29267
unknown,1970,,25350,29312
unknown,2010,,25361,29341
unknown,2050,,25361,29341
unknown,2090,,25359,29351
unknown,2130,,25369,29378
unknown,2170,,25380,29404
unknown,2210,,25388,29432
unknown,2250,,25393,29455
unknown,2290,,25408,29485
unknown,2330,,25420,29505
unknown,2370,,25417,29496
unknown,2410,,25382,29397
unknown,2450,,25361,29317
unknown,2490,,25367,29323
unknown,2530,,25383,29345
unknown,2570,,25386,29362
unknown,2610,,25397,29382
unknown,2650,,25401,29406
unknown,2690,,25400,29407
unknown,2730,,25400,29407
unknown,2770,,25402,29414
unknown,2810,,25411,29438
unknown,2850,,25413,29449
unknown,2890,,25399,29437
unknown,2930,,25395,29444
unknown,2970,,25406,29470
unknown,3010,,25412,29484
unknown,3050,,25378,29391
unknown,3090,,25353,29307
unknown,3130,,25357,29311
unknown,3170,,25367,29342
unknown,3210,,25377,29365
unknown,3250,,25399,29390
unknown,3290,,25395,29403
unknown,3330,,25398,29408
unknown,3370,,25396,29411
unknown,3410,,25392,29412
unknown,3450,,25384,29414
unknown,3490,,25384,29430
unknown,3530,,25392,29447
unknown,3570,,25394,29463
unknown,3610,,25404,29485
unknown,3650,,25402,29488
unknown,3690,,25358,29384
unknown,3730,,25330,29299
unknown,3770,,25325,29288
unknown,3810,,25334,29307
unknown,3850,,25342,29325
unknown,3890,,25354,29355
unknown,3930,,25359,29380
unknown,3970,,25364,29385
unknown,4010,,25370,29402
unknown,4050,,25377,29422
unknown,4090,,25389,29445
unknown,4130,,25394,29461
unknown,4170,,25396,29471
unknown,4210,,25399,29486
unknown,4250,,25404,29503
unknown,4290,,25403,29514
unknown,4330,,25377,29453
unknown,4370,,25328,29337
unknown,4410,,25314,29296
unknown,4450,,25315,29299
unknown,4490,,25317,29306
unknown,4530,,25319,29324
unknown,4570,,25328,29346
unknown,4610,,25329,29354
unknown,4650,,25336,29360
unknown,4690,,25343,29374
unknown,4730,,25350,29396
unknown,4770,,25351,29414
unknown,4810,,25362,29443
unknown,4850,,25379,29472
unknown,4890,,25383,29492
unknown,4930,,25394,29513
unknown,4970,,25403,29538
