person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,10,,25216,29142
unknown,50,,25220,29157
unknown,90,,25231,29182
unknown,130,,25230,29199
unknown,170,,25231,29212
unknown,210,,25240,29217
unknown,250,,25239,29225
unknown,290,,25233,29219
unknown,330,,25256,29265
unknown,370,,25289,29329
unknown,410,,25314,29374
unknown,450,,25323,29392
unknown,490,,25339,29433
unknown,530,,25370,29504
unknown,570,,25406,29558
unknown,610,,25407,29570
unknown,650,,25372,29486
unknown,690,,25304,29301
unknown,730,,25299,29262
unknown,770,,25325,29295
unknown,810,,25319,29290
unknown,850,,25322,29308
unknown,890,,25341,29352
unknown,930,,25347,29353
unknown,970,,25327,29323
unknown,1010,,25292,29275
unknown,1050,,25272,29248
unknown,1090,,25291,29293
unknown,1130,,25325,29358
unknown,1170,,25354,29420
unknown,1210,,25385,29482
unknown,1250,,25406,29525
unknown,1290,,25417,29551
unknown,1330,,25431,29584
unknown,1370,,25420,29539
unknown,1410,,25354,29369
unknown,1450,,25318,29271
unknown,1490,,25317,29268
unknown,1530,,25331,29292
unknown,1570,,25346,29321
unknown,1610,,25344,29321
unknown,1650,,25343,29337
unknown,1690,,25364,29368
unknown,1730,,25378,29393
unknown,1770,,25375,29403
unknown,1810,,25374,29416
unknown,1850,,25378,29435
unknown,1890,,25369,29425
unknown,1930,,25363,29426
unknown,1970,,25370,29444
unknown,2010,,25389,29481
unknown,2050,,25402,29513
unknown,2090,,25391,29500
unknown,2130,,25335,29336
unknown,2170,,25312,29259
unknown,2210,,25331,29300
unknown,2250,,25370,29370
unknown,2290,,25375,29369
unknown,2330,,25348,29343
unknown,2370,,25350,29349
unknown,2410,,25377,29393
unknown,2450,,25400,29427
unknown,2490,,25395,29429
unknown,2530,,25394,29442
unknown,2570,,25414,29487
unknown,2610,,25422,29515
unknown,2650,,25434,29541
unknown,2690,,25427,29537
unknown,2730,,25423,29537
unknown,2770,,25440,29579
unknown,2810,,25463,29615
unknown,2850,,25398,29452
unknown,2890,,25321,29284
unknown,2930,,25305,29258
unknown,2970,,25310,29271
unknown,3010,,25297,29255
unknown,3050,,25315,29290
unknown,3090,,25337,29334
unknown,3130,,25344,29340
unknown,3170,,25351,29360
unknown,3210,,25368,29391
unknown,3250,,25370,29417
unknown,3290,,25369,29434
unknown,3330,,25383,29468
unknown,3370,,25394,29488
unknown,3410,,25388,29491
unknown,3450,,25401,29528
unknown,3490,,25435,29595
unknown,3530,,25434,29596
unknown,3570,,25356,29436
unknown,3610,,25260,29219
unknown,3650,,25232,29157
unknown,3690,,25246,29183
unknown,3730,,25266,29233
unknown,3770,,25284,29264
unknown,3810,,25286,29292
unknown,3850,,25284,29286
unknown,3890,,25304,29307
unknown,3930,,25333,29364
unknown,3970,,25351,29402
unknown,4010,,25361,29429
unknown,4050,,25366,29451
unknown,4090,,25366,29468
unknown,4130,,25357,29458
unknown,4170,,25360,29464
unknown,4210,,25356,29477
unknown,4250,,25340,29472
unknown,4290,,25291,29367
unknown,4330,,25228,29192
unknown,4370,,25207,29143
unknown,4410,,25213,29160
unknown,4450,,25242,29214
unknown,4490,,25274,29287
unknown,4530,,25313,29364
unknown,4570,,25312,29369
unknown,4610,,25296,29333
unknown,4650,,25288,29332
unknown,4690,,25294,29351
unknown,4740,,25314,29398
unknown,4780,,25335,29440
unknown,4820,,25353,29481
unknown,4860,,25366,29517
unknown,4900,,25385,29558
unknown,4940,,25405,29617
unknown,4980,,25407,29622
